Diagnóstico principal (CIE10MC);Grupo de edad;Intervalos de estancia;Total;;https://datos.gob.es/es/catalogo/ea0010587-altas-hospitalarias-clasificadas-por-intervalos-de-estancia-segun-el-diagnostico-principal-y-el-grupo-de-edad-identificador-api-74882?utm_source=chatgpt.com
0102 Infecciones intestinales mal definidas A09;de 25 a 34 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 35 a 44 años;De 1 a 30 días;733;;
0102 Infecciones intestinales mal definidas A09;de 35 a 44 años;De 31 días a 6 meses;1;;
0102 Infecciones intestinales mal definidas A09;de 35 a 44 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 45 a 54 años;De 1 a 30 días;805;;
0102 Infecciones intestinales mal definidas A09;de 45 a 54 años;De 31 días a 6 meses;2;;
0102 Infecciones intestinales mal definidas A09;de 45 a 54 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 55 a 64 años;De 1 a 30 días;982;;
0102 Infecciones intestinales mal definidas A09;de 55 a 64 años;De 31 días a 6 meses;10;;
0102 Infecciones intestinales mal definidas A09;de 55 a 64 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 65 a 74 años;De 1 a 30 días;1.117;;
0102 Infecciones intestinales mal definidas A09;de 65 a 74 años;De 31 días a 6 meses;20;;
0102 Infecciones intestinales mal definidas A09;de 65 a 74 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 75 a 84 años;De 1 a 30 días;1.288;;
0102 Infecciones intestinales mal definidas A09;de 75 a 84 años;De 31 días a 6 meses;24;;
0102 Infecciones intestinales mal definidas A09;de 75 a 84 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 85 a 89 años;De 1 a 30 días;594;;
0102 Infecciones intestinales mal definidas A09;de 85 a 89 años;De 31 días a 6 meses;15;;
0102 Infecciones intestinales mal definidas A09;de 85 a 89 años;Más de 6 meses;2;;
0102 Infecciones intestinales mal definidas A09;de 90 a 94 años;De 1 a 30 días;409;;
0102 Infecciones intestinales mal definidas A09;de 90 a 94 años;De 31 días a 6 meses;6;;
0102 Infecciones intestinales mal definidas A09;de 90 a 94 años;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 95 años y más;De 1 a 30 días;108;;
0102 Infecciones intestinales mal definidas A09;de 95 años y más;De 31 días a 6 meses;5;;
0102 Infecciones intestinales mal definidas A09;de 95 años y más;Más de 6 meses;..;;
